Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable
aerobics leggings,Red & pink,False,700.0,175,Pink,Red,1x1,,Kicks,,All Year,False,1.0.0,Active,sporty,False,SocksTexAerobics0,5197,Smui8G3P6D8WgqK9G,True
aerobics leggings,Emerald & lime,False,700.0,175,Green,Light blue,1x1,,Kicks,,All Year,False,1.0.0,Active,sporty,False,SocksTexAerobics1,9794,eZKx89GvGsXcSDiMk,True
aerobics leggings,Purple & orange,False,700.0,175,Orange,Purple,1x1,,Kicks,,All Year,False,1.0.0,Active,sporty,False,SocksTexAerobics2,9795,jWvfpeefbhQpHQFoM,True
aerobics leggings,Light blue & salmon pink,False,700.0,175,Pink,Light blue,1x1,,Kicks,,All Year,False,1.0.0,Active,sporty,False,SocksTexAerobics3,9796,nYBBFZjyvYjTSN4fD,True
aerobics leggings,Yellow & blue,False,700.0,175,Blue,Yellow,1x1,,Kicks,,All Year,False,1.0.0,Active,sporty,False,SocksTexAerobics4,9797,gYqiyt5aP9KjqNnXQ,True
Aran-knit socks,Beige,False,720.0,180,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; comfy,False,SocksTexAlan0,4742,stTCJiLMdhmZ2ztyw,True
Aran-knit socks,White,False,720.0,180,White,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; comfy,False,SocksTexAlan1,9058,XX9wX5KzyENyLGa5e,True
Aran-knit socks,Red,False,720.0,180,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; comfy,False,SocksTexAlan2,9059,7xkmotJQfLFN6Rohx,True
Aran-knit socks,Green,False,720.0,180,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; comfy,False,SocksTexAlan3,9060,NH6u8astq42zMebAa,True
Aran-knit socks,Blue,False,720.0,180,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; comfy,False,SocksTexAlan4,9061,Gardfqrryv6SLZSQB,True
Aran-knit socks,Black,False,720.0,180,Black,Black,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; comfy,False,SocksTexAlan5,9062,pLZq39rKg8rn454r4,True
argyle crew socks,Blue,False,720.0,180,Blue,Light blue,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; work,False,SocksTexArgyle0,5806,QyJBC6G3E7dzXidaW,True
argyle crew socks,Red,False,720.0,180,Red,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; work,False,SocksTexArgyle1,9921,9MeYsgc2wAGCmj4mC,True
argyle crew socks,Green,False,720.0,180,Green,Yellow,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; work,False,SocksTexArgyle2,9922,dm4YEXfYftcwG3NB8,True
argyle crew socks,Beige,False,720.0,180,Beige,Brown,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; work,False,SocksTexArgyle3,9923,KrrN2AHTcePZaMyMo,True
argyle crew socks,Gray,False,720.0,180,Gray,Pink,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; work,False,SocksTexArgyle4,9924,2LSJz8d2eCLmuyiMg,True
argyle crew socks,White,False,720.0,180,White,Red,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; work,False,SocksTexArgyle5,9925,dT8t2ZMFSfktJkoDd,True
argyle crew socks,Orange,False,720.0,180,Orange,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,everyday; formal; work,False,SocksTexArgyle6,9926,CyRT5FdBTnic9cYrF,True
