Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable
acorn knit cap,Chestnut,False,880,220,Brown,Brown,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cute,everyday; comfy,HeadCap,True,CapHatAcorn0,5315,awiucsYWz5zP8GpRg,True
acorn knit cap,Mustard,False,880,220,Yellow,Yellow,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Cute,everyday; comfy,HeadCap,True,CapHatAcorn1,10933,ezAwHKyeN45mGvvpH,True
acorn knit cap,Avocado,False,880,220,Green,Green,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,True,1.0.0,Cute,everyday; comfy,HeadCap,True,CapHatAcorn2,10934,we44e3C8foQySY2y7,True
acorn knit cap,Berry red,False,880,220,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cute,everyday; comfy,HeadCap,True,CapHatAcorn3,10935,EfbMmL5YGZYtZNgHe,True
acorn knit cap,Navy blue,False,880,220,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cute,everyday; comfy,HeadCap,True,CapHatAcorn4,10936,FYrdavXDtZWRQ2MqQ,True
acorn knit cap,Cream,False,880,220,Beige,Beige,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,False,1.0.0,Cute,everyday; comfy,HeadCap,True,CapHatAcorn5,10937,XTXWXam7Wjt59MTr8,True
alpinist hat,Green,False,,500,Green,Green,1x1,,Gulliver,,All Year,False,1.0.0,Simple,everyday; formal,HeadCap,True,CapHatTyrolean0,5295,mYej2cYc7x6mGC8Dj,False
alpinist hat,Blue,False,,500,Blue,Light blue,1x1,,Gulliver,,All Year,False,1.0.0,Simple,everyday; formal,HeadCap,True,CapHatTyrolean1,11884,e45yoPx7fjTd9cSwk,False
alpinist hat,Red,False,,500,Red,Pink,1x1,,Gulliver,,All Year,False,1.0.0,Simple,everyday; formal,HeadCap,True,CapHatTyrolean2,11885,mKejTXKMxXnRBkk4B,False
ancient administrator hat,Black,False,,800,Black,Black,1x1,,Gulliver,,All Year,False,1.0.0,Elegant,formal; work,HeadCap,True,CapHatKanboBlack,6048,BNBBbdP7uZbY2r3zw,False
apple hat,Red,True,,1000,Red,Yellow,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; theatrical,HeadCap,True,CapHatApple0,9871,rEpxF8jscsm4fwjSf,False
Aran-knit cap,White,False,880,220,White,White,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,True,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,True,CapHatAlan0,9864,6Zi8WYr34D8niHAnC,True
Aran-knit cap,Red,False,880,220,Red,Red,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,True,CapHatAlan1,12045,uFfoH47SuuTmAzaXG,True
Aran-knit cap,Blue,False,880,220,Blue,Blue,1x1,,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,False,1.0.0,Simple,everyday; outdoorsy; comfy,HeadCap,True,CapHatAlan2,12046,jeSebE2Y5fYhTj22k,True
