Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Filename,Internal ID,Unique Entry ID,Purchasable
milkmaid hat,White,False,,800,White,White,1x1,,Gulliver,,All Year,False,1.0.0,Elegant,everyday; formal,Headgear_HasBang,False,CapBangsVolendamWhite,5365,xxPurMe9L9zyhgmoH,False
mohawk wig,Hair Color,False,1280,320,Colorful,Colorful,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,True,1.0.0,Cool,theatrical,Headgear_HasEar,False,CapWigMohican,5688,xSP2ma9tBnzzWzfv6,True
mum crown,Colorful,True,,480,Red,Yellow,1x1,,Crafting,,All Year,False,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,True,CapOrnamentMum1,5117,jcwfq9ffbRoL4AEde,False
mummy mask,White,False,980,245,White,White,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,fairy tale; goth; theatrical,HeadFullFace,False,CapFullfaceMummyWhite,5324,RumzTwR7oeh4Ap6Ge,True
New Year's hat,Red,False,500,125,Red,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearRed,4799,mRkejbn9CwDxWTD8v,False
New Year's hat,Blue,False,500,125,Blue,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearBlue,5186,Eo5LXf3XdqiQyRyv9,False
New Year's hat,Yellow,False,500,125,Yellow,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearYellow,5187,4P3oKZ7N4xXbHKcHD,False
New Year's hat,Green,False,500,125,Green,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearGreen,5188,STBytwCasPPX5vfWn,False
New Year's hat,Orange,False,500,125,Orange,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearOrange,5189,2jcPz9T4E5CHeytdR,False
New Year's hat,Purple,False,500,125,Purple,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearPurple,5190,B7pexDLSa7ZxqCRx2,False
New Year's hat,Pink,False,500,125,Pink,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearPink,5191,JHAzmuxhiGZG5xJzv,False
New Year's hat,Light blue,False,500,125,Light blue,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearLightblue,5192,zDsxniwxCt7Lyb2Aa,False
New Year's silk hat,Red,False,500,125,Red,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearsilkRed,5946,4gvYY4rPwuzRbaMXQ,False
New Year's silk hat,Blue,False,500,125,Blue,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearsilkBlue,5947,D3oDFZZsBaBoJ9NeJ,False
New Year's silk hat,Yellow,False,500,125,Yellow,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearsilkYellow,5948,k8tKF4tYi5ZejnpTb,False
New Year's silk hat,Green,False,500,125,Green,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearsilkGreen,5949,gF3HgnhNTRHXjaw7B,False
New Year's silk hat,Orange,False,500,125,Orange,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearsilkOrange,5950,s2Q4sYtm9FQzx8L95,False
New Year's silk hat,Purple,False,500,125,Purple,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearsilkPurple,5951,SY9weEDnd4egCfKts,False
New Year's silk hat,Pink,False,500,125,Pink,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearsilkPink,5952,4KbWNw4jwLokepjDz,False
New Year's silk hat,Light blue,False,500,125,Light blue,Yellow,1x1,,New Year's Eve,Purchased from Tom Nook on New Year's Eve,All Year,False,1.0.0,Gorgeous,party; theatrical,HeadCap,True,CapHatNewyearsilkLightblue,5953,YsNhinT3gy8CYuB4d,False
ninja hood,Dark blue,False,1400,350,Blue,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,fairy tale; work,Headgear_NoEarNoJaw,False,CapCostumeNinja0,5364,tNfkPdEzqBqjaJpoL,True
ninja hood,Gray,False,1400,350,Black,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,fairy tale; work,Headgear_NoEarNoJaw,False,CapCostumeNinja1,11870,pqeTwLRpzY2iimLhX,True
ninja hood,Red,False,1400,350,Red,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,fairy tale; work,Headgear_NoEarNoJaw,False,CapCostumeNinja2,11871,cjHgPwXzQKaAvmhuC,True
ninja hood,Purple,False,1400,350,Purple,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,fairy tale; work,Headgear_NoEarNoJaw,False,CapCostumeNinja3,11872,tB493c7XfJfk3SNdz,True
ninja hood,Aqua,False,1400,350,Light blue,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,fairy tale; work,Headgear_NoEarNoJaw,False,CapCostumeNinja4,11873,QLNKKCbkjKA4dbrrT,True
ninja hood,Green,False,1400,350,Green,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,fairy tale; work,Headgear_NoEarNoJaw,False,CapCostumeNinja5,11874,XaaDcBAN2LENqYzcv,True
ninja hood,Yellow,False,1400,350,Yellow,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,fairy tale; work,Headgear_NoEarNoJaw,False,CapCostumeNinja6,11875,M5W4YEuvEQ787Tegk,True
ninja hood,Orange,False,1400,350,Orange,Gray,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Cool,fairy tale; work,Headgear_NoEarNoJaw,False,CapCostumeNinja7,11876,xuwDmWqQkxgPZPqRg,True
Noh mask,White,False,2400,600,Beige,Black,1x1,,Able Sisters,Available from Able Sisters shop only,All Year,False,1.0.0,Elegant,goth; theatrical,HeadFace,True,CapMaskNomenWhite,6036,g5HMKByrRY6yupb25,True
Nook Inc. bandanna,Yellow,False,,2500,Orange,Yellow,1x1,500,Nook Miles Shop,,All Year,False,1.0.0,Simple,outdoorsy; work,HeadCap,True,CapHatBandanaRco,5628,uPbBLGqqSiTSKdsap,False
Nook Inc. cap,Green,False,,2500,Green,White,1x1,500,Nook Miles Shop,,All Year,False,1.0.0,Simple,outdoorsy; sporty,HeadCap,True,CapHatMeshcapRco,5627,M6ZPhdcjGPvRGtDCS,False
