Name,Variation,Body Title,Pattern,Pattern Title,DIY,Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Version,Filename,Variant ID,Internal ID,Unique Entry ID,Purchasable,Achieved,Timestamp
Admiral's photo,Natural wood,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_0_0,0_0,6626,QPR5b8GPW4TpNDErv,False,0,2020-08-13
Admiral's photo,Dark wood,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_1_0,1_0,6626,2mPFGZg5voRQPPywP,False,0,2020-08-13
Admiral's photo,Pastel,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_2_0,2_0,6626,MaYsPpzQ7goTdZxyk,False,0,2020-08-13
Admiral's photo,White,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_3_0,3_0,6626,aLPtG7KDGZvFjs4pb,False,0,2020-08-13
Admiral's photo,Pop,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_4_0,4_0,6626,36eafotwE2YtogcHS,False,0,2020-08-13
Admiral's photo,Colorful,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_5_0,5_0,6626,AEPKL9Ss5g9KoseEt,False,0,2020-08-13
Admiral's photo,Silver,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_6_0,6_0,6626,t5ekqLdJHSJRhfSh5,False,0,2020-08-13
Admiral's photo,Gold,Frame,,,False,True,1,,10,Green,Blue,1x1,High Friendship,1.0.0,BromideNpcNmlBrd06_Remake_7_0,7_0,6626,mG5Qvu9ydLKh5f6zP,False,0,2020-08-13
Agent S's photo,Natural wood,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_0_0,0_0,6709,ajFvDMZMfMgAgcpk8,False,0,2020-08-13
Agent S's photo,Dark wood,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_1_0,1_0,6709,2tCrrFyttoA4LtMJi,False,0,2020-08-13
Agent S's photo,Pastel,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_2_0,2_0,6709,k5LqupBSGSfP3Htea,False,0,2020-08-13
Agent S's photo,White,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_3_0,3_0,6709,d3LgDHw7Cy3XCRXYs,False,0,2020-08-13
Agent S's photo,Pop,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_4_0,4_0,6709,iomBsZt9QqcSzT3H7,False,0,2020-08-13
Agent S's photo,Colorful,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_5_0,5_0,6709,K3hy4ggMxgXBMckmm,False,0,2020-08-13
Agent S's photo,Silver,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_6_0,6_0,6709,46s4b7pCXCjcCr7MP,False,0,2020-08-13
Agent S's photo,Gold,Frame,,,False,True,1,,10,Blue,Gray,1x1,High Friendship,1.0.0,BromideNpcNmlSqu05_Remake_7_0,7_0,6709,2jhfB8AxfCMXKRZrC,False,0,2020-08-13
Agnes's photo,Natural wood,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_0_0,0_0,6661,Y9TFv46iQHZu2zFZd,False,0,2020-08-13
Agnes's photo,Dark wood,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_1_0,1_0,6661,Jx66fd7cnM8ZWbhaJ,False,0,2020-08-13
Agnes's photo,Pastel,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_2_0,2_0,6661,gXbBWYiRdoyaySYAH,False,0,2020-08-13
Agnes's photo,White,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_3_0,3_0,6661,S77GzrsKa8RNG57LK,False,0,2020-08-13
Agnes's photo,Pop,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_4_0,4_0,6661,x2cJ95t8guFyT3Rr3,False,0,2020-08-13
Agnes's photo,Colorful,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_5_0,5_0,6661,AZxhvbHLYYD7XibxR,False,0,2020-08-13
Agnes's photo,Silver,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_6_0,6_0,6661,FBuzWvevFzyJpu9Nx,False,0,2020-08-13
Agnes's photo,Gold,Frame,,,False,True,1,,10,Pink,Black,1x1,High Friendship,1.0.0,BromideNpcNmlPig17_Remake_7_0,7_0,6661,8PK88rGguoqtW3gEE,False,0,2020-08-13
Al's photo,Natural wood,Frame,,,False,True,1,,10,Red,Light blue,1x1,High Friendship,1.0.0,BromideNpcNmlGor08_Remake_0_0,0_0,6518,fgXqHQkbNynr4dHSj,False,0,2020-08-13
Al's photo,Dark wood,Frame,,,False,True,1,,10,Red,Light blue,1x1,High Friendship,1.0.0,BromideNpcNmlGor08_Remake_1_0,1_0,6518,pTvyPF7Qg82Xppnt7,False,0,2020-08-13
Al's photo,Pastel,Frame,,,False,True,1,,10,Red,Light blue,1x1,High Friendship,1.0.0,BromideNpcNmlGor08_Remake_2_0,2_0,6518,ZiRaBj2YcL5yfaRzh,False,0,2020-08-13
Al's photo,White,Frame,,,False,True,1,,10,Red,Light blue,1x1,High Friendship,1.0.0,BromideNpcNmlGor08_Remake_3_0,3_0,6518,wJayuqNjGeFRAQEZe,False,0,2020-08-13
